Bank Number and Name,Assets,EAD,c_i,w_i,beta_i,lambda_i,Ratio for Next Two Banks,Ratio for Last Two Banks
AT001,205938.00,25044.00,180894.00,10507.00,0.13,17.20,,
AT002,131173.00,30361.00,100812.00,7641.00,0.25,13.20,,
AT003,44745.00,10788.00,33957.00,1765.00,0.25,19.20,3.40,
BE004,548135.00,228211.00,319924.00,17002.00,0.43,18.80,,
BE005,276723.00,23871.00,252852.00,11705.00,0.09,21.60,35.70,
CY006,42580.00,7907.00,34673.00,2015.00,0.20,17.20,,
CY007,41996.00,7294.00,34702.00,2134.00,0.18,16.30,1.60,
DE017,1905630.00,194399.00,1711231.00,30361.00,0.10,56.40,,0.50
DE018,771201.00,138190.00,633011.00,26728.00,0.19,23.70,,0.80
DE019,374413.00,133906.00,240507.00,9838.00,0.37,24.40,2.50,1.00
DE020,323578.00,135860.00,187718.00,7299.00,0.43,25.70,1.90,1.10
DE021,316354.00,97336.00,219018.00,11501.00,0.32,19.00,2.40,1.30
DE022,228586.00,91217.00,137369.00,3974.00,0.41,34.60,2.50,1.60
DE023,328119.00,29084.00,299035.00,5539.00,0.09,54.00,3.00,3.30
DE024,191523.00,58128.00,133395.00,4218.00,0.31,31.60,3.60,2.20
DE025,150930.00,9532.00,141398.00,4434.00,0.07,31.90,5.20,9.70
DE027,133861.00,49253.00,84608.00,5162.00,0.38,16.40,2.60,
DE028,130304.00,41255.00,89049.00,3359.00,0.33,26.50,9.70,
DK008,402555.00,75894.00,326661.00,14576.00,0.20,22.40,,0.40
DK011,175888.00,8597.00,167291.00,6633.00,0.05,25.20,,2.70
DK009,32752.00,4674.00,28078.00,1699.00,0.15,16.50,1.40,
DK010,20238.00,3670.00,16568.00,1231.00,0.19,13.50,2.70,
ES059,1223267.00,51407.00,1171860.00,41998.00,0.04,27.90,,0.40
ES060,540936.00,110474.00,430462.00,24939.00,0.21,17.30,,0.20
ES061,327930.00,39517.00,288414.00,13864.00,0.13,20.80,7.40,0.60
ES062,275856.00,5510.00,270346.00,11109.00,0.02,24.30,3.20,3.60
ES064,129183.00,14810.00,114373.00,6699.00,0.12,17.10,5.20,1.50
ES065,96703.00,3678.00,93025.00,3507.00,0.04,26.50,19.60,5.50
