,0
47,1419978.5307692308
50,450033.0157894737
43,1717402.4
49,944401.7
44,1313651.5666666667
48,1744939.4666666668
22,1231336.8
59,782675.6666666667
46,837981.6
64,819670.1333333334
7,1749772.8
45,900874.7999999999
65,588361.6666666667
8,588763.8473684211
60,438649.59999999986
23,415778.12857142865
72,498663.76363636367
3,302625.19534883724
18,304318.0
24,264348.8307692307
4,240494.8
66,335206.6
11,206760.375
25,268657.2
0,168207.13846153847
9,228117.3810810811
73,190708.46666666667
74,210057.32222222225
51,98187.0
1,91025.1
75,176009.1666666667
10,180008.51860465118
56,127152.66666666669
26,108224.6
19,165490.0
63,103794.075
68,103682.33333333334
61,227285.59999999998
13,294155.4777777778
62,119864.1
53,52994.066666666666
16,80446.3052631579
70,78803.09999999999
15,127764.72857142858
52,72914.4
14,129174.00967741934
12,131207.36585365856
31,60639.74545454545
57,113041.21111111112
69,89481.5
27,85178.4
17,83780.65757575756
32,56778.333333333336
28,66878.64545454546
54,49253.36666666666
36,37899.3
29,69427.2
33,46802.7
38,30971.8
37,37831.2
6,33481.96666666667
71,36145.82307692308
35,34831.19411764706
5,31534.4
41,7683.2
34,52080.0
30,67738.54285714285
67,29294.099999999995
2,32430.0
20,26328.466666666667
58,37535.928571428565
39,26130.433333333334
21,15334.152631578947
42,16968.6
40,24865.542857142857
55,32738.90000000177
