,0
47,212092.0
50,105506.0
43,90328.0
49,29233.0
44,83713.0
48,53873.0
22,51407.0
59,106707.0
46,34983.0
64,111756.0
7,194399.0
45,100013.0
65,37538.0
8,138190.0
60,109909.0
23,110474.0
72,61448.0
3,228211.0
18,75894.0
24,39516.0
4,23871.0
66,29196.0
11,97336.0
25,5510.0
0,25044.0
9,133906.0
73,25956.0
74,20870.0
51,8608.0
1,30361.0
75,17358.0
10,135860.0
56,17254.0
26,14810.0
19,8597.0
63,19793.0
68,14221.0
61,12074.0
13,29084.0
62,7603.0
53,3492.0
16,49253.0
70,8689.0
15,9532.0
52,3838.0
14,58128.0
12,91217.0
31,7419.0
57,11277.0
69,7690.0
27,3678.0
17,41255.0
32,7659.0
28,8219.0
54,1581.0
36,1924.0
29,2948.0
33,4124.0
38,2599.0
37,1778.0
6,7294.0
71,5462.0
35,7234.0
5,7907.0
41,285.0
34,2141.0
30,4981.0
67,388.0
2,10788.0
20,4674.0
58,6127.0
39,1665.0
21,3670.0
42,1926.0
40,1802.0
55,1657.0
