,0
47,212180.7
50,105563.3
43,90389.6
49,29208.3
44,83850.1
48,53967.2
22,51305.7
59,106728.5
46,34915.9
64,111773.2
7,194419.2
45,100097.2
65,37555.0
8,138105.1
60,109662.4
23,110523.3
72,61632.6
3,228296.2
18,76079.5
24,39500.4
4,23785.2
66,29148.4
11,97299.0
25,5482.8
0,25134.4
9,133973.7
73,26005.7
74,20774.9
51,8538.0
1,30341.7
75,17407.5
10,135795.9
56,17339.0
26,14757.9
19,8710.0
63,19770.3
68,14138.5
61,11962.4
13,29092.3
62,7650.9
53,3382.6
16,49305.8
70,8755.9
15,9616.7
52,3837.6
14,58034.7
12,91178.0
31,7494.8
57,11179.9
69,7781.0
27,3549.1
17,41265.1
32,7742.5
28,8265.9
54,1523.3
36,1994.7
29,2892.8
33,4069.8
38,2693.2
37,1576.3
6,7349.7
71,5401.1
35,7134.1
5,7883.6
41,156.8
34,2170.0
30,5098.6
67,295.9
2,10810.0
20,4646.2
58,6110.5
39,1667.9
21,3596.9
42,1885.4
40,1871.6
55,1723.1000000000931
